series,date,division,index
abs,2015-01-01,06,107.236
abs,2015-02-01,06,96.262
abs,2015-03-01,06,107.744
abs,2015-04-01,06,96.051
abs,2015-05-01,06,103.504
abs,2015-06-01,06,96.875
abs,2015-07-01,06,100.081
abs,2015-08-01,06,91.268
abs,2015-09-01,06,96.827
abs,2015-10-01,06,100.116
abs,2015-11-01,06,98.746
abs,2015-12-01,06,105.29
abs,2016-01-01,06,106.927
abs,2016-02-01,06,98.448
abs,2016-03-01,06,104.027
abs,2016-04-01,06,97.691
abs,2016-05-01,06,102.428
abs,2016-06-01,06,103.722
abs,2016-07-01,06,103.31
abs,2016-08-01,06,94.822
abs,2016-09-01,06,96.483
abs,2016-10-01,06,104.347
abs,2016-11-01,06,104.533
abs,2016-12-01,06,111.825
abs,2017-01-01,06,108.584
abs,2017-02-01,06,98.907
abs,2017-03-01,06,107.309
abs,2017-04-01,06,96.864
abs,2017-05-01,06,98.635
abs,2017-06-01,06,103.227
abs,2017-07-01,06,101.303
abs,2017-08-01,06,101.066
abs,2017-09-01,06,98.255
abs,2017-10-01,06,104.874
abs,2017-11-01,06,106.587
abs,2017-12-01,06,107.254
abs,2018-01-01,06,107.634
abs,2018-02-01,06,94.427
abs,2018-03-01,06,105.614
abs,2018-04-01,06,100.096
abs,2018-05-01,06,100.13
abs,2018-06-01,06,97.444
abs,2018-07-01,06,95.457
abs,2018-08-01,06,94.85
abs,2018-09-01,06,93.547
abs,2018-10-01,06,106.493
abs,2018-11-01,06,103.546
abs,2018-12-01,06,108.353
abs,2019-01-01,06,109.376
abs,2019-02-01,06,92.397
abs,2019-03-01,06,106.302
abs,2019-04-01,06,99.95
abs,2019-05-01,06,103.712
abs,2019-06-01,06,98.835
abs,2019-07-01,06,87.897
abs,2019-08-01,06,93.563
abs,2019-09-01,06,91.727
abs,2019-10-01,06,99.868
abs,2019-11-01,06,105.306
abs,2019-12-01,06,103.082
abs,2020-01-01,06,105.439
abs,2020-02-01,06,97.365
abs,2020-03-01,06,98.653
abs,2020-04-01,06,81.902
abs,2020-05-01,06,81.445
abs,2020-06-01,06,84.514
abs,2020-07-01,06,87.885
abs,2020-08-01,06,86.181
abs,2020-09-01,06,84.984
abs,2020-10-01,06,90.824
abs,2020-11-01,06,89.016
abs,2020-12-01,06,97.523
abs,2021-01-01,06,100.92
abs,2021-02-01,06,92.262
